label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
iText-2b,iText,2b, 1.517965087E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965107E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965127E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965147E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965167E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2b,iText,2b, 1.517965186E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
iText-2c,iText,2c, 1.517965207E12,980.05,977.14,2.90,0.00,1070637,947495,1024.00
iText-2c,iText,2c, 1.517965227E12,988.00,985.10,2.90,0.00,1077400,952733,1024.00
iText-2c,iText,2c, 1.517965247E12,985.37,982.45,2.92,0.00,1082672,958679,1024.00
iText-2c,iText,2c, 1.517965267E12,983.90,981.00,2.90,0.00,1087208,963590,1024.00
iText-2c,iText,2c, 1.517965288E12,986.92,984.00,2.93,0.00,1102784,978393,1024.00
iText-2c,iText,2c, 1.517965307E12,983.18,980.25,2.93,0.00,1107494,984061,1024.00
iText-2c,iText,2c, 1.517965327E12,983.66,980.73,2.93,0.00,1113563,990008,1024.00
iText-2c,iText,2c, 1.517965347E12,987.18,984.26,2.93,0.00,1119923,996487,1024.00
iText-2c,iText,2c, 1.517965368E12,984.73,981.75,2.99,0.00,1126557,1003237,1024.00
iText-2c,iText,2c, 1.517965387E12,983.22,980.30,2.93,0.00,1132622,1009689,1024.00
iText-2c,iText,2c, 1.517965407E12,986.72,983.80,2.93,0.00,1139354,1015525,1024.00
iText-2c,iText,2c, 1.517965427E12,985.72,982.80,2.93,0.00,1145050,1021477,1024.00
iText-2c,iText,2c, 1.517965447E12,986.23,983.16,3.08,0.00,1150935,1027231,1024.00
iText-2c,iText,2c, 1.517965467E12,980.25,977.33,2.93,0.00,1157143,1034970,1024.00
iText-2c,iText,2c, 1.517965487E12,986.79,983.83,2.96,0.00,1164038,1040193,1024.00
iText-2c,iText,2c, 1.517965508E12,983.29,980.36,2.93,0.00,1169174,1046224,1024.00
iText-2c,iText,2c, 1.517965527E12,985.28,982.36,2.93,0.00,1174944,1051484,1024.00
iText-2c,iText,2c, 1.517965548E12,992.80,989.84,2.96,0.00,1182873,1057488,1024.00
iText-2c,iText,2c, 1.517965568E12,979.91,976.98,2.93,0.00,1187946,1065862,1024.00
iText-2c,iText,2c, 1.517965587E12,982.66,979.73,2.93,0.00,1193966,1071178,1024.00
iText-2c,iText,2c, 1.517965607E12,980.90,977.97,2.93,0.00,1197427,1075089,1024.00
iText-2c,iText,2c, 1.517965628E12,980.61,977.55,3.07,0.00,1204910,1082645,1024.00
iText-2c,iText,2c, 1.517965648E12,979.51,976.55,2.96,0.00,1210590,1088608,1024.00
iText-2c,iText,2c, 1.517965668E12,979.30,976.36,2.94,0.00,1214887,1092959,1024.00
iText-2c,iText,2c, 1.517965687E12,976.97,974.05,2.93,0.00,1218644,1097311,1024.00
iText-2c,iText,2c, 1.517965707E12,985.00,982.02,2.98,0.00,1226181,1103303,1024.00
